Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
Showtime;2002;85000000;37948800;98;53;29;635;4;2.205;78948800
Shrek 2;2004;70000000;441226200;93;72;391456;612;4;3.105;937008100
Shrek Forever After;2010;165000000;238736800;93;63;171583;526;7;2.662;756244700
Shrek the Third;2007;160000000;322719900;93;60;261914;775;3;0.774;807330900
Shutter;2008;8000000;25928600;97;71;38097;744;4;2.823;47782400
Shutter Island;2010;80000000;128012900;138;81;1034051;728;12;1.786;299461800
Side Effects;2013;30000000;32172800;90;49;1016;414;4;2.416;66742100
Sideways;2004;17000000;71502300;127;75;171706;650;4;3.077;109793200
Signs;2002;70702600;227969300;106;67;322079;746;4;0.67;408269300
Silence;2016;46500000;7100200;80;53;10;882;3;1.701;16152200
Silent House;2012;2000000;12739700;86;52;21084;741;6;1.889;16610800
Silent Movie;1976;4400000;36145700;87;67;15128;817;10;1.346;36145700
Silent Trigger;1996;15000000;76400;93;55;3430;649;1;4.16;76400
Silver Bullet;1985;7000000;10803200;95;64;21961;1360;4;1.765;10803200
Silver Linings Playbook;2012;21000000;132093000;122;77;629388;769;7;2.991;236412500
Silverado;1985;26000000;33200000;133;72;34754;484;9;1.86;33200000
Simon;2006;1300000;4100;97;64;713;72;3;1.389;1738700
Simon Birch;1998;20000000;18253400;114;68;19937;186;4;3.226;18310600
Simply Irresistible;1999;6000000;4399000;96;53;12758;348;4;6.897;4399000
Sin City;2005;40000000;74103800;124;80;721203;1058;11;2.647;158527900
Sin City: A Dame to Kill For;2014;65000000;13757800;102;65;143769;1314;2;2.816;39499300
Sinbad: Legend of the Seven Seas;2003;60000000;26483500;86;67;45734;514;4;1.946;80767900
Sing;2016;75000000;270329000;98;70;663;562;3;2.313;634287700
Singin' in the Rain;1952;2540000;7200000;103;83;202234;630;5;1.27;7200000
Sinister;2012;3000000;48086900;110;68;203489;641;7;1.248;87727800
Sinister 2;2015;10000000;27741000;97;53;43819;750;3;0.8;54104200
Sisters;2015;30000000;87044600;93;69;13814;708;2;1.271;106030700
Six Days, Seven Nights;1998;80000000;74339300;98;58;69362;500;4;2.8;164800000
Six-String Samurai;1998;2000000;134600;91;67;6487;705;3;1.702;134600
Sky Captain and the World of Tomorrow;2004;70000000;37760100;106;60;79432;845;3;1.894;49730900
Sky High;2005;35000000;63939500;58;58;139;732;5;3.415;83109400
Skyfall;2012;200000000;304360300;143;77;599606;630;4;0.635;1110527000
Skyline;2010;10000000;21416400;68;64;16;649;6;1.695;68265000
Slacker;1991;23000;1227500;97;71;18426;159;0;6.289;1227500
Slackers;2002;11000000;4814200;86;54;13410;566;3;3.18;5942200
Slam;1998;1000000;1009800;100;71;2157;559;3;2.505;1087500
Sleeper;1973;2000000;18344700;89;72;38114;425;2;3.529;18344700
Sleepers;1996;44000000;53300900;147;76;177708;624;10;1.763;165600900
Sleepover;2004;10000000;9408200;88;52;46;471;4;4.034;9408200
Sleepy Hollow;1999;70000000;101068300;105;73;311413;759;4;3.294;207068300
Sliding Doors;1998;6000000;11911200;99;67;60161;644;2;4.814;58809100
Sling Blade;1996;4833600;24475400;135;80;82816;808;7;2.599;34175000
Slither;2006;15250000;7802500;97;62;1151;460;3;2.826;12930300
Slumdog Millionaire;2008;14000000;141330700;120;80;758440;834;3;3.118;384530400
Slums of Beverly Hills;1998;5000000;5502800;91;66;11268;349;3;3.152;5502800
Small Soldiers;1998;40000000;55143800;108;62;87570;822;4;2.555;71743800
Small Time Crooks;2000;18000000;17266400;94;67;35134;331;3;1.511;29934500
Smoke Signals;1998;2000000;6719300;89;71;9210;323;3;2.167;7756600
Smokin' Aces;2007;17000000;35662700;109;67;132607;773;5;1.682;57263400
Smurfs: The Lost Village;2017;60000000;45020300;90;60;16267;841;11;1.189;197268000
Snake Eyes;1998;73000000;55591400;98;60;72479;825;5;1.576;103891400
Snakes on a Plane;2006;33000000;34020800;105;54;127445;673;4;2.377;62020800
Snatch;2000;10000000;30093100;104;83;733263;793;5;1.765;83593100
Snatched;2017;42000000;45852200;81;55;81;679;11;2.651;57852200
Snitch;2013;15000000;42930500;97;45;125;993;10;1.309;57907700
Snow Day;2000;13000000;60008300;89;51;10846;230;3;3.478;62452900
Snow Dogs;2002;32000000;81150700;99;51;23908;672;3;1.191;116898000
Snow Falling on Cedars;1999;36000000;14378400;127;67;13265;528;3;3.409;14378400
Snow Flower and the Secret Fan;2011;6000000;1348200;104;61;3459;221;12;0.905;11348200
Snow White and the Seven Dwarfs;1937;1488000;184925500;83;76;168375;624;3;1.442;184925500
Snowden;2016;50000000;21587500;134;73;123113;707;1;1.839;34302000
Snowpiercer;2014;40000000;4563000;126;71;250273;781;2;1.537;88069900
Solaris;2002;47000000;14970000;167;81;72170;874;3;2.403;14970000
Soldier;1998;75000000;14623100;99;60;49659;865;4;2.775;14623100
Solitary Man;2010;12500000;4360500;90;63;15098;606;7;4.786;4360500
Solomon and Sheba;1959;5000000;11000000;141;62;2679;545;2;2.018;11000000
Some Like it Hot;1959;2883800;25000000;65;68;221;702;6;4.416;25000000
Someone Like You;2001;23000000;27338000;80;78;9;870;4;3.793;38684900
Something Borrowed;2011;35000000;39046500;112;59;55110;732;5;3.279;65084100
Something's Gotta Give;2003;80000000;124685200;128;67;105232;664;6;2.41;266685200
Somewhere in Time;1980;5100000;9709600;103;72;24987;1125;2;4.178;9709600
Son of God;2014;22000000;59700100;80;68;13;962;2;1.975;70949800
Son of the Mask;2005;100000000;17018400;94;22;49889;837;4;2.867;59918400
Song One;2015;6000000;32300;86;58;8659;116;2;3.448;437100
