Film;Anno;Budget;IncassoDomestico;Durata;Rating;Votanti;LunghezzaTrama;NumeroAttori;SRR;IncassoMondiale
First Knight;1995;75000000;37361400;134;60;64249;618;3;7.443;127361400
Fish Tank;2010;3000000;374700;123;73;55658;812;1;2.463;5922300
Fist Fight;2017;25000000;32187000;91;56;36408;967;11;0.931;40287000
Fiza;2000;1000000;623800;170;61;3539;277;3;2.166;1179500
Flash Gordon;1980;35000000;27108000;245;71;1992;917;5;1.636;27108000
Flash of Genius;2008;20000000;4442400;119;70;15935;469;1;1.493;4504100
Flashdance;1983;7000000;90463600;95;62;43800;513;3;1.949;201463600
Flatliners;1990;26000000;61308200;115;66;76187;587;5;4.089;61308200
Flawless;1999;27000000;4485500;112;65;16741;385;4;3.636;4485500
Fled;1996;30000000;17192200;98;54;8112;150;2;2.667;19892200
Flicka;2006;15000000;21000100;95;61;7069;609;3;1.149;21896400
Flight;2012;31000000;93772400;110;60;221;415;2;2.651;160558400
Flight of the Intruder;1991;35000000;14471400;115;58;5949;861;5;2.323;14471400
Flight of the Phoenix;2004;75000000;21009200;113;61;50165;545;5;1.651;34009200
Flightplan;2005;55000000;89707000;98;63;145608;861;3;1.394;214392900
Flipped;2010;14000000;1755200;90;77;76298;539;9;3.525;4290000
Flipper;1996;25530000;20080000;87;61;1539;345;2;2.029;30593300
Flirting with Disaster;1996;7000000;14853500;92;67;16900;616;7;1.948;16149200
Florence Foster Jenkins;2016;29000000;27383800;111;68;46215;703;1;2.987;56017700
Flubber;1997;80000000;92993800;93;53;79606;757;1;1.585;177993800
Flushed Away;2006;149000000;64665700;85;66;105059;616;4;1.299;179357100
Flyboys;2006;60000000;13090600;140;65;39865;488;3;4.918;14816400
Flywheel;2003;20000;0;120;68;3672;670;3;3.433;0
Focus;2015;65000000;53863000;73;71;162;752;2;2.128;159063000
Foolproof;2003;5800000;230300;94;65;9130;266;3;2.256;421000
Fool's Gold;2008;72500000;70231000;63;68;82;348;2;0.862;109363000
Footloose;1984;8200000;80000000;107;66;64854;546;5;3.114;80000000
For a Good Time, Call;2012;850000;1251700;85;60;15133;608;8;5.757;1386100
For Colored Girls;2010;21000000;37729700;133;61;6815;2207;8;2.991;38017900
For Your Consideration;2006;12000000;5549900;86;63;13289;600;6;3.167;5549900
For Your Eyes Only;1981;28000000;54800000;127;68;85314;641;3;2.028;195300000
Force 10 from Navarone;1978;5000000;7100000;118;64;15692;1100;3;2.455;7100000
Forget Me Not;2011;1300000;0;70;63;6;62;3;3.226;13500
Forgetting Sarah Marshall;2008;30000000;63172500;111;71;251148;600;4;5.667;105173000
Formula 51;2002;27000000;5204000;93;63;46478;693;5;1.587;5204000
Forrest Gump;1994;55000000;330151100;142;88;1658570;632;7;2.69;679850600
Fortress;1993;12000000;6730600;85;71;2430;1605;5;2.243;46730600
Four Brothers;2005;30000000;74494400;109;68;126927;716;5;1.816;92494400
Four Christmases;2008;80000000;120146000;88;56;58876;438;6;1.827;168311600
Four Lions;2010;3750000;310000;97;73;67472;518;3;1.158;2436100
Four Rooms;1995;4000000;4301000;98;68;92655;944;8;2.331;4301000
Four Weddings and a Funeral;1994;4500000;52700800;117;70;129699;724;3;5.525;242895800
Frailty;2002;11000000;13110400;100;72;72404;755;3;1.589;19947300
Frances Ha;2013;3000000;4067400;86;74;62048;178;3;3.933;11267500
Frankenstein;1994;45000000;22006300;70;78;60174;18;3;5.556;112006300
Frankenweenie;2012;39000000;35287800;87;69;91372;640;8;1.25;81150800
Freaky Friday;2003;26000000;110222400;95;63;10833;734;2;2.452;160822400
Freddy Got Fingered;2001;15000000;14249000;87;46;44363;441;6;2.268;14249000
Freddy vs. Jason;2003;25000000;82622700;97;57;105430;506;4;1.976;114576400
Free Birds;2013;55000000;55750500;91;59;21282;700;12;2.286;110387100
Free Fire;2017;10000000;1799300;91;64;37304;557;5;0.718;3793700
Free State of Jones;2016;50000000;20810000;139;69;46519;346;1;2.601;23151900
Free Willy;1993;20000000;77698600;112;59;64154;618;5;2.104;153698600
Freedom Writers;2007;21000000;36605600;123;75;62948;631;4;4.754;43632600
Freeway;1996;3000000;295500;91;50;342;724;3;1.796;295500
Freeze Frame;2004;2000000;0;99;64;2746;380;1;1.842;105400
Frenzy;1972;3500000;12600000;80;67;57;630;3;1.746;12600000
Frequency;2000;31000000;44983700;118;73;95996;639;2;2.817;68079700
Frida;2002;12000000;25885000;123;74;75893;440;3;2.273;56131200
Friday;1995;3500000;27467600;91;73;92623;692;2;1.445;27936800
Friday After Next;2002;10000000;33253600;85;58;24214;534;3;1.873;33526800
Friday Night Lights;2004;30000000;61255900;118;72;55172;660;1;1.364;61950800
Friday the 13th;2009;17000000;65002000;95;65;109366;632;3;1.741;92670200
Friday the 13th Part 2;1981;1250000;21722800;87;61;53597;627;2;1.435;21722800
Fried Green Tomatoes;1991;11000000;81204800;130;77;62512;621;4;3.543;81204800
Friends with Benefits;2011;35000000;55802800;94;52;343;758;13;5.013;146595900
Friends with Money;2006;6500000;13368400;88;58;24926;172;4;7.558;18110200
Fright Night;2011;30000000;18298600;106;71;55275;757;4;1.453;40520600
From Dusk Till Dawn;1996;20000000;25729000;108;72;269045;442;7;1.584;25733000
From Hell;2001;35000000;31598300;122;68;141055;617;3;3.079;68712400
From Here to Eternity;1953;1650000;30500000;118;76;40108;808;7;2.847;30500000
From Justin to Kelly;2003;12000000;4922200;81;21;24504;82;2;10.976;4922200
From Russia With Love;1964;2000000;24800000;115;74;108143;1142;3;2.539;78900000
Frost/Nixon;2008;29000000;18622000;122;77;98033;576;7;2.604;28452900
Frozen;2013;150000000;400738000;99;66;223;532;3;2.068;1274235000
Frozen River;2008;1000000;2511500;61;67;7;672;4;1.042;6030100
Fruitvale Station;2013;900000;16099000;85;75;69373;332;7;3.615;17549600
Fun Size;2012;14000000;9409500;86;54;13134;1956;16;2.454;11166600
Fun With Dick And Jane;2005;140000000;110550000;95;65;3492;170;3;4.706;203018900
Funny Games;2008;15000000;1294600;108;76;58328;683;4;1.025;8200100
Funny People;2009;72500000;51855000;90;65;248;395;6;4.81;71880300
Furious 7;2015;190000000;353007000;137;72;341324;750;3;1.733;1518722800
Furry Vengeance;2010;35000000;17630500;92;38;14951;463;7;3.024;39340200
Fury;2014;80000000;85817900;90;68;19;285;3;2.105;210315700
G.I. Joe: Retaliation;2013;140000000;122523100;110;58;167364;537;9;1.676;375740700
G.I. Joe: The Rise of Cobra;2009;175000000;150201500;118;58;192878;691;11;1.881;302469000
Galaxina;1980;5500000;4865000;95;37;2489;651;1;2.765;4865000
Galaxy Quest;1999;45000000;71423700;102;73;139718;726;6;2.755;90523700
Gallipoli;1981;3000000;5732600;110;74;34573;799;3;2.003;5732600
Game Night;2018;37000000;39340600;100;69;173204;265;2;2.264;55533700
Gamer;2009;50000000;20534900;92;30;267;680;8;6.912;42002000
Gandhi;1982;22000000;52767900;191;80;209767;443;7;1.806;127767900
Gandhi, My Father;2007;5000000;240400;136;73;1506;251;3;0.797;1375200
Gangs of New York;2002;97000000;77730500;67;66;95;512;7;1.758;183124600
Gangster Squad;2013;60000000;46000900;113;67;198087;428;9;2.103;104100900
Garden State;2004;2500000;26782300;102;74;202414;700;5;3.429;36028800
Garfield: A Tail of Two Kitties;2006;60000000;28426700;82;50;35967;371;4;2.695;147985400
Gattaca;1997;36000000;12532800;106;78;265445;748;3;2.005;12532800
Genius;2016;17000000;1361000;104;65;16174;266;3;3.384;5653200
Gentleman's Agreement;1947;2000000;7800000;118;72;13669;933;5;3.537;7800000
Gentlemen Broncos;2009;9500000;115200;89;62;10456;423;4;3.31;120000
George Of The Jungle;1997;55000000;105263300;92;54;66741;674;3;1.929;174463300
Georgia Rule;2007;20000000;18882900;113;58;23216;649;5;4.006;20819600
Geostorm;2017;100000000;33700200;109;53;83198;616;10;1.299;220800200
Get Carter;2000;40000000;14967200;112;74;26841;678;6;2.065;19417200
Get Hard;2015;40000000;90411500;100;60;113427;763;2;2.228;106511500
Get Him to the Greek;2010;40000000;61153500;109;64;163106;690;6;1.739;91455900
Get Low;2010;7000000;9176900;103;70;21430;439;4;2.734;10828300
Get on the Bus;1996;2400000;5691900;120;67;4677;644;3;2.95;5691900
Get on Up;2014;30000000;30569900;139;69;19320;889;2;2.587;33339900
Get Out;2017;5000000;176040700;104;77;427297;612;7;2.778;255090100
Get Over It;2001;10000000;11560300;78;71;17;756;6;4.233;19860300
Get Real;1999;2000000;1152400;108;75;11924;202;2;7.921;1152400
Get Rich or Die Tryin';2005;40000000;30981900;117;53;42021;667;2;3.448;46667000
Get Shorty;1995;30250000;72021000;105;69;72108;673;8;1.337;115021000
Get Smart;2008;80000000;130319200;110;65;193029;897;6;2.676;226739400
Getaway;2013;18000000;10501900;90;44;22406;771;6;1.556;11814000
G-Force;2009;150000000;119436800;88;51;40068;1224;9;1.879;292817800
Ghost;1990;22000000;217631300;127;70;183142;688;4;1.744;517600000
Ghost Dog: The Way of the Samurai;2000;2000000;3330200;116;75;80618;397;1;4.03;10672500
Ghost in the Shell;2017;110000000;40563600;83;80;118402;617;14;1.783;167918800
Ghost Rider;2007;120000000;115802600;114;52;212707;734;5;2.452;229545600
Ghost Rider: Spirit of Vengeance;2012;57000000;51774000;96;43;105451;803;6;1.868;149217400
Ghost Ship;2002;20000000;30113500;74;55;378;804;6;3.483;68349900
Ghost Town;2008;20000000;13367600;56;59;51;757;3;3.303;29958200
Ghost World;2001;5500000;6217800;111;73;108135;576;5;4.514;8761600
Ghostbusters;1984;30000000;242212500;105;78;331016;447;7;2.013;295212500
Ghosts of Mississippi;1996;36000000;13052700;130;67;9627;159;3;3.145;13052700
Gigli;2003;54000000;6087500;121;25;44924;512;8;4.102;7126000
Girl 6;1996;12000000;4880900;108;51;5589;1442;2;4.577;4880900
Girl with a Pearl Earring;2003;12000000;11634400;100;69;68972;460;3;1.087;43274800
Girl, Interrupted;1999;24000000;28871200;127;73;151153;264;6;3.788;28871200
Girls Trip;2017;28000000;115108500;122;62;30831;778;12;2.956;140798800
Gladiator;2000;103000000;187683800;101;65;7645;465;3;3.011;457683800
Glengarry Glen Ross;1992;12500000;10725200;100;78;90045;794;7;2.393;10725200
Glitter;2001;8500000;4273400;104;22;20946;439;4;2.961;4273400
Gloria;1999;30000000;4167500;90;69;18;584;1;2.569;4967500
Glory;1989;18000000;26593600;100;57;187;223;2;1.345;26593600
Glory Road;2006;30000000;42647400;118;72;40524;426;3;1.878;42799100
Go!;1999;6500000;16875300;102;72;64804;866;6;2.656;28383400
Gods and Generals;2003;55000000;12882900;219;64;14691;636;3;1.415;12923900
Gods and Monsters;1998;3500000;6451600;105;74;27842;525;4;4.762;6451600
Gods of Egypt;2016;140000000;31153500;127;54;97593;1089;2;2.02;133553500
Godsend;2004;30000000;14334600;102;48;24163;770;4;2.468;16910700
Godzilla;2014;160000000;200676100;96;76;26321;661;7;2.572;529076100
Going in Style;2017;24000000;45018500;97;71;2709;583;3;2.401;78714200
Going the Distance;2010;32000000;17804300;90;72;10;804;12;4.602;43604000
Goldeneye;1995;60000000;106429900;130;72;226081;682;3;1.026;356429900
Goldfinger;1964;3000000;51100000;110;77;161200;856;3;1.869;124900000
Gone Girl;2014;61000000;167767200;149;81;782610;710;3;1.831;368567200
Gone in 60 Seconds;2000;103300000;101643000;105;65;7823;622;2;1.286;232643000
Gone with the Wind;1939;3900000;198680500;238;81;269228;971;6;2.06;390525200
Gone, Baby, Gone;2007;19000000;20300200;114;76;237645;769;7;3.771;34352200
Good;2008;16000000;31600;92;62;6531;141;2;5.674;31600
Good Boy!;2003;17000000;37667700;87;51;3903;532;4;3.196;45312200
Good Luck Chuck;2007;25000000;35017300;96;56;82482;719;2;4.868;59183800
Good Morning Vietnam;1987;13000000;123922400;121;73;118344;642;5;1.869;123922400
Good Night, and Good Luck;2005;7000000;31501200;93;74;91139;687;5;1.31;56586900
Good Will Hunting;1997;10000000;138433400;126;83;788095;570;5;2.632;225926000
Goodbye Bafana;2007;30000000;0;118;71;11305;98;2;7.143;2717300
Goodfellas;1990;25000000;46743800;146;87;931245;638;7;2.978;46777300
Gosford Park;2001;18000000;41300100;131;72;74986;664;7;2.41;41300100
Gossip;2000;14000000;5108800;90;59;13880;437;6;3.433;12591300
Gothika;2003;40000000;59588100;98;58;101955;777;5;2.445;141484800
Grabbers;2013;5300000;0;94;63;16034;507;4;2.17;440800
Grace Unplugged;2013;1700000;2507200;102;61;3075;348;6;1.724;2507200
Gracie;2007;9000000;2956300;95;62;3895;414;3;3.382;3922000
Graduation Day;1981;250000;23894000;96;48;3057;634;2;1.577;23894000
Gran Torino;2008;25000000;148095300;116;81;681450;785;1;2.42;274543100
Grave Encounters;2011;2000000;0;92;61;49138;681;1;1.322;2151900
Gravity;2013;110000000;274092700;83;60;21;652;2;1.994;695941800
Grease;1978;6000000;181813800;110;72;216699;1069;9;2.619;387513800
Green Lantern;2011;200000000;116601200;114;55;256123;598;11;1.003;219535500
Green Room;2016;5000000;3220400;95;70;94723;613;1;0.979;3807500
Green Zone;2010;100000000;35497300;115;68;123752;740;6;1.081;97523000
Gremlins;1984;11000000;148168500;106;73;182131;494;3;1.417;148199500
Gridiron Gang;2006;30000000;38432800;125;69;42685;661;1;1.513;41457800
Griff the Invisible;2011;2900000;20800;90;61;4546;491;4;3.87;25900
Grosse Pointe Blank;1997;15000000;28084400;107;73;83627;480;4;1.667;31070400
Groundhog Day;1993;14600000;70907000;101;80;549659;412;4;3.398;70907000
Growing up Smith;2017;2000000;35300;102;68;1000;175;6;1.714;35300
Grown Ups;2010;75000000;162001200;102;59;214901;883;5;2.718;272223400
Grown Ups 2;2013;80000000;133668500;101;54;131521;802;28;2.369;247023800
Grudge Match;2013;40000000;29807300;113;64;55011;736;6;1.63;69807300
Guardians of the Galaxy;2014;170000000;333172100;121;80;978632;677;3;0.886;771051300
Guardians of the Galaxy Vol 2;2017;200000000;389813100;136;76;509243;666;14;1.502;863197700
Guess Who;2005;35000000;68915900;105;59;38541;337;4;3.264;102115900
Gulliver's Travels;2010;112000000;42779300;76;67;3553;378;2;0.794;232017800
Gun Shy;2000;10000000;1638200;101;57;6682;374;3;2.406;1638200
Gunless;2010;9900000;458100;89;64;3404;691;5;1.447;458100
H.;2014;200000;0;94;63;132;152;2;1.316;0
Hacksaw Ridge;2016;40000000;67209600;139;81;382464;637;2;2.512;158701600
Hail, Caesar!;2016;22000000;30080200;100;33;933;51;3;11.765;64171400
Hairspray;2007;75000000;118871800;92;69;18789;467;6;2.141;203035600
Half Baked;1998;8000000;17394900;82;67;55304;390;5;6.154;17394900
Half Nelson;2006;700000;2697900;106;72;81248;617;2;2.269;4911700
Half Past Dead;2002;25000000;15567900;98;46;13935;413;3;1.695;19233300
Hall Pass;2011;68000000;45060700;105;58;115198;933;2;2.894;87173500
Halloween;2007;15000000;58269200;91;78;212503;551;5;2.178;77514400
Halloween 4: The Return of Michael Myers;1988;5000000;17768800;88;59;40546;745;3;1.074;17768800
Halloween 5: The Revenge of Michael Myers;1989;6000000;11642300;96;52;32018;638;4;1.724;11642300
Halloween II;1981;2500000;25533800;92;65;69092;581;2;1.549;25533800
Halloween: Resurrection;2002;15000000;30259700;94;40;35079;651;6;1.997;37659700
Halloween: The Curse of Michael Myers;1995;5000000;15126900;87;49;28773;692;2;1.156;15126900
Hamlet;1996;18000000;4501100;64;47;35;20;4;5;7129700
Hamlet 2;2008;9000000;4886200;92;63;16216;493;3;1.217;4934100
Hancock;2008;150000000;227946300;92;64;420296;490;3;1.633;624234300
Hands of Stone;2016;20000000;4712800;111;66;13386;566;2;3.357;5032000
Hang 'em High;1968;1800000;6800000;114;70;32432;834;3;1.679;6800000
Hanging Up;2000;40000000;36037900;94;49;11397;208;4;1.923;51867700
Hanna;2011;30000000;40259100;111;68;181240;508;6;1.772;65343700
Hannah Montana the Movie;2009;30000000;79576200;102;44;37508;689;9;2.467;169173200
Hannibal;2001;87000000;165092300;100;52;624;558;5;0.717;350100300
Happily N'Ever After;2007;47000000;15849000;75;45;9696;668;5;2.096;37923800
Happiness;1998;3000000;2746500;76;71;18;609;5;4.762;5746500
Happy Death Day;2017;5000000;55683800;96;65;97021;806;6;1.861;124967300
Happy Feet;2006;85000000;198000300;108;64;160409;587;4;1.533;385000300
Happy Feet Two;2011;135000000;64006500;100;59;39176;1092;12;1.923;157956500
Happy Gilmore;1996;10000000;38623500;92;70;183895;760;5;1.842;41004400
Happy, Texas;1999;1700000;2039200;98;63;9320;110;5;0;2891200
Hard Rain;1998;70000000;19870600;97;59;30776;922;4;0.976;19870600
Hardball;2001;21000000;40222700;106;64;26732;516;3;1.938;43728600
Harlem Nights;1989;30000000;60857300;116;61;18664;559;8;3.22;95857300
Harley Davidson and the Marlboro Man;1991;23000000;7018500;98;62;17401;751;8;2.131;7018500
Harold & Kumar Escape from Guantanamo Bay;2008;12000000;38108700;104;66;126141;321;2;0.935;43353100
Harold & Kumar Go to White Castle;2004;9000000;18225200;88;71;174135;553;3;0.362;18225200
Harper;1966;3500000;12000000;121;69;7598;1287;8;2.409;12000000
Harriet the Spy;1996;13000000;26570000;100;59;9151;775;2;4;26570000
Harry Brown;2010;7300000;1818700;103;72;81482;638;2;1.411;12023600
Harry Potter and the Chamber of Secrets;2002;100000000;261987900;161;74;505243;758;8;1.319;878979600
Harry Potter and the Goblet of Fire;2005;150000000;290013000;157;77;500674;724;10;1.381;896911100
Harry Potter and the Half-Blood Prince;2009;250000000;301959200;153;76;429608;1084;13;1.937;935083700
Harry Potter and the Order of the Phoenix;2007;150000000;292004700;138;75;465278;764;8;1.833;942943900
Harry Potter and the Prisoner of Azkaban;2004;130000000;249539000;142;79;501891;630;15;1.429;796688500
Harsh Times;2006;2000000;3337900;116;69;60737;840;3;3.691;6225300
Hart's War;2002;70000000;19076800;125;63;49042;626;3;3.355;33076800
Harvard Man;2002;5500000;56700;99;49;4071;234;4;2.564;56700
Hawaii;1966;15000000;34562200;189;66;2480;1404;4;2.92;34562200
Haywire;2012;23000000;18942400;93;58;79477;801;10;0.874;36374700
He Got Game;1998;25000000;21567900;136;69;41793;466;4;1.717;22411900
Head of State;2003;35200000;37788200;95;55;17305;311;3;2.894;38283800
Head Over Heels;2001;14000000;10397400;50;62;12;221;2;5.43;10397400
Heartbeeps;1981;10000000;6000000;78;42;1222;240;3;1.667;6000000
Heartbreakers;2001;38000000;40334000;98;60;427;164;5;3.659;57753800
Hearts in Atlantis;2001;31000000;24185800;101;69;34496;513;4;3.119;30885800
Heaven Can Wait;1978;15000000;98800000;112;75;8961;492;2;3.659;98800000
Heaven is for Real;2014;12000000;91386100;99;58;24614;294;2;2.721;100919100
Heaven's Gate;1980;44000000;3484300;219;68;12609;672;7;2.232;3484500
Heavy Metal;1981;9300000;19571100;86;67;29009;1323;4;2.721;19571100
Hedwig and the Angry Inch;2001;6000000;3067300;95;77;30161;655;5;4.122;3740000
Heist;2001;35000000;23483400;95;40;98;623;6;2.247;28906800
Held Up;2000;8000000;4714100;89;52;3308;127;3;3.15;4714100
Hellboy;2004;60000000;59624000;122;68;294833;697;5;1.578;99824000
Hellboy II: The Golden Army;2008;82500000;75986500;120;70;246182;632;4;2.848;160388100
Hello, Dolly;1969;24000000;33208100;146;71;12441;943;7;2.863;33208100
Hellraiser;1987;1000000;14564000;94;70;95054;637;4;1.57;14575100
Henry V;1989;9000000;10161100;137;71;5337;526;2;0.951;10176700
Her;2014;23000000;25568300;45;59;7;628;4;7.484;48447700
Hercules;1997;70000000;99112100;104;54;1656;41;2;2.439;250700000
Here Comes the Boom;2012;42000000;45290300;105;64;82585;675;13;0.593;73239300
Here on Earth;2000;15000000;10494100;96;52;8065;298;3;7.047;10845100
Hero;1992;42000000;19487200;92;35;42;671;3;1.788;66787200
Heroes;2008;400000;655500;112;61;1529;181;3;4.972;655500
He's Just Not That Into You;2009;40000000;93953700;129;64;152263;1049;9;5.052;181053700
Hesher;2011;7000000;382900;106;70;49025;676;5;1.183;382900
Hey Arnold! The Movie;2002;10000000;13684900;76;59;6008;645;3;2.326;13684900
Hidalgo;2004;78000000;67286700;136;67;74645;637;3;1.256;108086700
Hide and Seek;2005;25000000;51100500;63;69;170;900;2;3;123696700
High Anxiety;1977;3400000;31063000;94;67;18589;703;6;1.28;31063000
High Crimes;2002;42000000;41543200;115;64;36484;530;3;2.453;63781100
High Fidelity;2000;20000000;27277100;85;80;48;326;6;3.374;47881700
High Heels and Low Lifes;2001;10000000;226800;86;62;3267;284;2;0.704;226800
High Noon;1952;730000;8000000;85;79;91899;608;5;1.48;8000000
High Plains Drifter;1973;5500000;15700000;105;75;46290;571;5;1.401;15700000
High School Musical 3: Senior Year;2008;11000000;90559400;112;47;53964;974;4;2.669;274392900
High Tension;2005;2850000;3681100;63;54;30;553;3;2.713;6435300
Higher Ground;2011;1800000;841100;92;70;33;624;8;3.846;842700
Highlander;1986;16000000;5900000;116;71;114907;643;4;2.644;12900000
Highlander: Endgame;2000;15000000;12801200;87;46;18598;748;2;1.872;12801200
History of the World: Part I;1981;11000000;31672000;92;69;43443;1199;12;2.919;31672000
Hitch;2005;55000000;177784300;118;66;282088;321;3;3.427;366784300
Hitman;2007;17500000;39687700;104;62;4600;686;4;1.604;99135600
Hitman: Agent 47;2015;35000000;22467500;96;57;81769;789;5;2.281;81967500
Hobo with a Shotgun;2011;3000000;703400;86;61;42469;705;5;2.979;835000
Hocus Pocus;1993;28000000;39360500;96;68;86601;615;6;1.463;39360500
Hoffa;1992;35000000;23365900;140;66;19982;727;3;2.338;28391500
Holes;2003;20000000;67383900;117;70;71582;682;6;2.346;71232200
Hollow Man;2000;90000000;73209300;112;58;116584;780;3;1.795;191200000
Hollywood Ending;2002;16000000;4839400;112;66;24658;211;4;2.844;14839400
Hollywood Homicide;2003;75000000;30207800;116;53;34632;681;8;3.231;50409800
Hollywood Shuffle;1987;100000;5228600;78;70;4455;460;1;2.391;5228600
Holy Man;1998;60000000;12069700;114;49;18339;429;5;3.263;12069700
Home;2015;130000000;177397500;91;51;105;946;2;2.748;386069400
Home Alone;1990;15000000;285761200;103;76;414661;641;5;1.404;476684700
Home Alone 2: Lost in New York;1992;20000000;173585500;120;67;270077;754;3;2.387;358994900
Home for the Holidays;1995;20000000;17468900;103;66;10912;665;8;4.06;22119300
Home Fries;1998;15000000;10514000;91;51;7782;494;4;1.417;10514000
Home on the Range;2004;110000000;50026400;54;61;22;692;5;1.156;76482500
Home Run;2013;1200000;2860000;82;42;66;79;5;5.063;2860000
Homefront;2013;22000000;20158500;100;65;100389;410;8;1.707;51695400
Honey;2003;18000000;30272300;75;62;45;752;3;3.457;62646800
Hoodwinked;2006;17500000;51386600;80;64;53566;595;3;2.857;109843400
Hoodwinked Too: Hood vs. Evil;2011;30000000;10143800;86;47;11511;433;19;1.617;23353100
Hook;1991;70000000;119654800;142;68;218232;666;9;2.703;300854800
Hoot;2006;15000000;8117600;91;55;7538;407;4;2.457;8225000
Hop;2011;63000000;108085300;106;69;420;659;10;1.669;188657600
Hope Floats;1998;30000000;60110300;114;60;22976;723;3;3.596;81529000
Hope Springs;2012;30000000;63536000;92;54;6325;716;3;5.307;133085300
Horrible Bosses;2011;35000000;117538600;98;69;403966;626;9;2.556;212417600
Horrible Bosses 2;2014;40000000;54445400;108;63;147540;939;3;1.704;105945400
Horton Hears a Who;2008;85000000;154529400;86;68;123243;647;4;3.864;299477900
Hostage;2005;75000000;34636400;90;57;122;614;2;2.769;77636400
Hostel;2006;4800000;47326500;94;59;161582;942;3;2.972;82241100
Hostel: Part II;2007;7500000;17544800;94;55;81599;816;6;2.574;33606400
Hot Fuzz;2007;16000000;23618800;121;78;434758;803;3;1.993;81742600
Hot Pursuit;2015;35000000;34580200;93;58;3172;133;3;1.504;45680200
Hot Rod;2007;25000000;13938300;61;64;101;589;7;3.056;14334400
Hot Tub Time Machine;2010;36000000;50269900;101;64;155863;640;7;4.688;65967800
Hot Tub Time Machine 2;2015;14000000;12314700;93;51;35026;503;2;4.771;12452600
Hotel for Dogs;2009;35000000;73178500;100;54;20242;1011;6;1.286;122357200
Hotel Rwanda;2004;17500000;23519100;121;81;318180;470;4;1.064;36521200
Hotel Transylvania;2012;85000000;148313000;91;71;209016;861;9;4.297;378505800
House at the End of the Street;2012;6900000;31611900;101;56;67271;584;11;1.712;44104000
House of D;2005;2000000;388500;97;70;8541;155;3;7.742;466100
House of Flying Daggers;2004;12000000;11050100;119;75;103537;565;2;1.593;92863900
House of Sand and Fog;2003;16500000;13005500;126;75;62558;778;3;1.285;16157900
House of Wax;2005;35000000;32064800;88;71;14952;438;3;1.598;70064800
House on Haunted Hill;1999;19000000;40846100;75;69;21006;660;2;1.667;65090500
House Party 2;1991;5000000;19438600;94;53;5652;251;0;1.594;19438600
Housefull;2010;10100000;1183700;144;53;11536;766;10;3.133;18726300
How Do You Know?;2010;120000000;30212600;121;54;41806;496;4;3.024;49628200
How High;2001;12000000;31155400;93;63;50721;776;1;1.675;31222400
How She Move;2008;17000000;7070600;94;35;4746;138;6;3.623;8607800
How Stella Got Her Groove Back;1998;20000000;37672900;124;57;6450;102;4;7.843;37672900
How the Grinch Stole Christmas;2000;123000000;260044800;104;61;186262;846;5;2.128;345141400
How to be Single;2016;37000000;46843500;110;61;75945;840;1;3.333;99595900
How to Deal;2003;16000000;14108500;101;56;8956;648;3;4.475;14108500
How to Lose Friends & Alienate People;2008;28000000;2775600;110;64;66177;495;3;1.818;12031400
How to Train Your Dragon;2010;165000000;217581200;98;81;624350;439;8;0.911;494871000
How to Train Your Dragon 2;2014;145000000;177002900;102;78;285495;700;2;1;614586300
Howard the Duck;1986;30000000;16295800;110;47;40531;545;3;2.385;16295800
Howards End;1992;8000000;26124900;142;74;26471;791;3;2.908;26317900
Hud;1963;2500000;10000000;112;79;17874;780;4;1.923;10000000
Hudson Hawk;1991;65000000;17218900;100;58;49339;653;7;0.613;17218900
Hugo;2011;180000000;73864500;126;75;288685;892;16;1.682;180047800
Hulk;2003;137000000;132177200;138;56;242763;683;5;1.903;245075400
Hurricane Streets;1998;500000;334000;86;64;1097;1158;1;2.591;367600
Hustle & Flow;2005;2800000;22202800;116;73;37152;563;3;3.552;23591800
I am Legend;2007;150000000;256393000;101;72;645552;854;1;2.576;585532700
I Am Sam;2001;22000000;40270900;132;76;137443;383;3;3.394;92542400
I Can Do Bad All By Myself;2009;19000000;51733900;113;44;9275;814;8;4.546;51733900
I Got the Hook-Up!;1998;3500000;10317800;93;41;1992;85;3;0;10317800
I Heart Huckabees;2004;22000000;12784700;107;66;60780;600;6;3;20034700
I Hope They Serve Beer in Hell;2009;7000000;1429300;105;53;8065;157;3;3.822;1429500
I Know What You Did Last Summer;1997;17000000;72250100;101;57;125972;768;8;2.474;125250100
I Love You, Beth Cooper;2009;18000000;14800700;102;53;32218;741;7;3.374;16382500
I Love You, Man;2009;40000000;72013000;105;70;187448;706;2;3.966;92302500
I Love You, Phillip Morris;2010;13000000;2037500;98;66;88177;473;4;3.806;23014000
I Married a Strange Person;1998;250000;203100;75;70;1619;27;0;3.704;203100
I Origins;2014;1000000;336500;106;74;107089;973;2;2.056;852400
I Spit on Your Grave;2010;1750000;93100;110;54;205;564;1;4.078;1278500
I Spy;2002;70000000;33561100;62;66;22;672;4;1.042;60279800
I Still Know What You Did Last Summer;1998;24000000;40020600;100;47;65107;1019;6;2.159;40020600
I Think I Love My Wife;2007;14000000;12559800;94;55;16014;311;3;5.466;13205400
I Want Someone To Eat Cheese With;2007;1500000;194600;80;61;3139;314;3;4.459;194600
I, Frankenstein;2014;65000000;19075300;92;51;75856;758;2;1.583;74575300
I, Robot;2004;105000000;144801000;115;71;472911;702;7;1.994;348629600
