Film;Nomination;Anno;WikiPageQuality;BestWikiRankLocale;BestWikiRankGlobale;LikesProtagonista;Durata;Morti;Rating;Votanti;LikesFilm;LikesRegista;Budget;IncassoDomestico;LunghezzaTrama;NumeroAttori;SRR; IncassoMondiale 
Planet of the Apes;1;2001;90.7692;146;262;3330;112;99;80;157946;4232440;5064205;100000000;180011700;853;4;2.345;362211700
Batman Begins;1;2005;90.664;40;52;329131;140;18;82;1222639;18576986;356882;150000000;205343800;713;6;2.104;359142700
Minority Report;1;2002;100;3904;4958;11719869;145;4;76;478054;249721;121711;102000000;132024700;741;4;2.024;358824700
GoldenEye;0;1995;94.9872;1101;1958;394;130;57;72;226081;5075533;2498;60000000;106429900;682;3;1.026;356429900
The Fugitive;1;1993;69.9208;9999;9999;28410;60;5;53;12;186574;0;44000000;183875800;123;3;4.878;353715300
Hannibal;0;2001;90.7692;9344;6804;544;100;15;52;624;1398598;9476;87000000;165092300;558;5;0.717;350100300
Wanted;1;2008;86.3979;204;764;1932444;107;57;61;287;3517446;3333;75000000;134508600;850;4;2.588;342416500
Tomorrow Never Dies;0;1997;82.1617;2870;4458;811;119;55;65;171125;2855;0;110000000;125304300;666;3;1.351;339504300
The Rock;1;1996;52.2546;9195;8824;25042;136;24;74;297335;0;191761;75000000;134069500;646;3;3.715;336069500
Indiana Jones and the Temple of Doom;1;1984;89.0638;187;537;28410;118;41;76;415383;4149004;121711;28000000;179880300;709;3;1.128;333080300
Schindler's List;1;1993;92.3077;888;1169;135619;195;98;89;1117739;1819950;121711;25000000;96067200;628;6;3.344;321365600
Lethal Weapon 3;0;1992;48.7171;9999;9999;808;118;17;67;148486;263043;0;35000000;144731500;838;4;2.029;319700000
Inglourious Basterds;1;2009;92.9905;12;26;633610;153;59;83;1159485;2440645;144808;70000000;120774600;742;8;2.291;316915300
Air Force One;1;1997;55.7124;9999;9999;28410;124;54;65;170084;98976;0;85000000;172956400;909;3;1.87;315268400
Mulan;1;1998;95.5673;1571;1911;383922;88;43;76;229799;6457904;13865;90000000;120620300;615;4;1.301;303500000
Shutter Island;0;2010;60.4397;38;73;16746759;138;171;81;1034051;1740735;1631839;80000000;128012900;728;12;1.786;299461800
Austin Powers in Goldmember;0;2002;59.162;9118;9999;645;94;6;62;186860;133938;0;63000000;213117800;769;3;1.56;296338700
The Departed;1;2006;64.7254;1310;1467;16746759;151;21;85;1101757;1917853;1631839;90000000;132384300;682;9;1.906;289660600
The Bourne Supremacy;0;2004;49.5555;1869;2179;68370;108;9;77;412900;23537;661;85000000;176087500;677;4;1.182;288587500
Lethal Weapon 4;0;1998;40.6794;9999;9999;21132253;127;30;66;145725;540607;0;140000000;130444600;685;6;0.73;285400000
Speed;1;1994;67.6169;3743;6094;304957;70;7;60;391;573251;0;30000000;121248100;657;5;0.913;283200000
The Silence of the Lambs;1;1991;79.9087;1169;1461;1087649;118;8;86;1167081;2656659;1583;20000000;130726700;753;9;2.922;275726700
Bad Boys II;0;2003;56.7593;8035;9999;77055972;147;63;66;210353;9321435;191761;130000000;138540900;523;2;3.059;273272000
The Expendables;0;2010;74.6183;7;12;53089569;89;203;44;142;10809998;6397969;82000000;103068500;590;15;2.034;268268200
American Gangster;1;2007;91.1152;617;1497;137852;157;15;78;372637;1747578;9476;100000000;130164600;627;2;2.073;267985500
Batman Returns;1;1992;96.0008;415;1077;644;126;18;70;258328;1134230;5064205;80000000;162833600;691;3;4.631;266824300
The Incredible Hulk;0;2008;100;23;67;5627;112;41;67;411065;11301659;0;137500000;134806900;696;4;1.724;265573900
Waterworld;1;1995;53.6859;7937;9999;711;135;67;62;170039;178454;0;175000000;88246200;636;4;2.358;264246200
The Fifth Element;1;1997;93.0278;2524;2831;5529324;126;80;77;410544;531079;195090;95000000;63570900;624;6;3.205;263898800
Total Recall;1;1990;62.5269;7000;3546;605;113;77;75;283002;359479;660;65000000;119394800;664;5;1.958;261400000
Unbreakable;0;2000;69.8359;45;36;159824;106;4;73;363620;11370;8807;73243100;94999100;730;4;1.918;248099100
RoboCop;1;2014;71.689;54;100;14273;102;34;75;218408;1467188;0;120000000;58607000;652;6;2.147;242981800
Face/Off;1;1997;47.9039;9999;9999;25042;138;56;73;331722;882455;10830;80000000;112276100;667;6;1.499;241200000
Die Hard 2;0;1990;44.0898;8397;8298;102947;124;37;72;317929;2588068;5774;70000000;117323900;717;4;1.116;239814000
Eraser;1;1996;48.2781;9999;9999;676320;115;52;61;98524;20;0;100000000;101295600;675;5;0.148;234400000
The Mask of Zorro;1;1998;83.7937;9999;9999;1087649;136;26;67;159125;217;2498;65000000;93828700;736;3;2.853;233700000
Ghost Rider;0;2007;70.2363;9999;9999;25042;114;52;52;212707;8171866;0;120000000;115802600;734;5;2.452;229545600
Charlie's Angels: Full Throttle;0;2003;43.1421;9483;9999;2328159;106;39;49;114747;112182;0;120000000;100814300;682;5;3.079;227200000
Taken;0;2009;62.0385;171;366;135619;98;35;54;153;4484360;2042;25000000;145001000;655;3;4.885;226941600
Con Air;1;1997;60.3188;9999;999;12461;115;30;69;261602;13977;197;80000000;101117600;768;7;2.214;224117600
Jumper;0;2008;73.7143;6003;7346;2818154;88;7;61;275562;679347;0;82500000;80172100;676;6;1.627;222640800
Constantine;0;2005;69.9083;2890;3352;4474;121;7;70;285308;2123332;0;75000000;75976200;727;3;2.613;221594900
Wild Wild West;0;1999;55.6751;9999;9999;77055972;106;95;49;146298;0;0;175000000;113805700;1007;4;5.164;221229300
Kingdom of Heaven;0;2005;75.4523;4131;4922;135619;144;610;72;253873;0;9476;110000000;47398400;652;3;2.761;218853400
Collateral;1;2004;41.7747;9999;9999;11719869;120;17;75;340113;127730;56710;60000000;100170200;762;3;1.312;217670200
The Patriot;1;2000;63.7641;6397;9999;13000;50;42;74;8;307980;244532;110000000;113330300;181;2;4.972;215300000
The Bourne Identity;0;2002;67.536;960;960;68370;119;8;79;481831;23537;0;60000000;121469000;755;6;1.589;214357400
Pulp Fiction;1;1994;98.0967;322;343;102947;154;10;89;1691174;7391301;144808;8000000;107928800;581;11;1.377;212928800
Master and Commander: The Far Side of the World;1;2003;56.2514;9999;9999;613;138;122;74;191906;168515;424;135000000;93926400;613;2;0.816;212912100
District 9;1;2009;75.291;7;24;40514;112;71;79;612616;1127165;11602;30000000;115646200;540;3;2.222;212453400
Braveheart;1;1995;81.3077;2261;2557;4595;71;184;70;174;4321105;131054;72000000;75545600;641;4;1.404;209045500
Sleepy Hollow;1;1999;89.5211;4633;6440;898;105;25;73;311413;1625527;5064206;70000000;101068300;759;4;3.294;207068300
Alien;1;1979;100;21;46;0;117;1;84;732185;4514317;9476;9000000;80930600;687;7;0.582;203630600
The Hunt for Red October;1;1990;60.2691;4462;7131;826;135;7;76;167267;972;2595;30000000;120709900;611;6;2.128;200500000
For Your Eyes Only;0;1981;96.9231;5294;7957;844;127;42;68;85314;49697;1207;28000000;54800000;641;3;2.028;195300000
Beowulf;0;2007;68.2973;1015;2371;159824;95;51;41;10718;10860;7329;150000000;82280600;285;2;2.456;195080600
Rambo III;0;1988;49.2921;5144;7699;6398015;102;127;58;113592;19283996;0;58000000;53715600;457;1;4.158;188715600
Octopussy;0;1983;72.5198;4683;7346;594;131;46;66;88320;5075533;1207;27500000;67900000;722;4;1.385;187500000
The Spy Who Loved Me;1;1977;70.2956;5552;7709;456;125;73;71;91089;5075533;0;14000000;46800000;527;3;1.328;185400000
Watchmen;0;2009;95.6049;8;16;986;162;77;76;465128;719358;0;138000000;107509800;828;8;4.106;184068400
Aliens;1;1986;95.5989;217;452;4595;137;68;84;613249;4514306;67425;17000000;85160200;791;7;1.643;183316500
Gangs of New York;1;2002;71.5206;2097;4028;16746759;67;109;66;95;773824;1631839;97000000;77730500;512;7;1.758;183124600
Poseidon;1;2006;33.0582;9999;9999;755;98;214;56;93509;412;0;160000000;60674800;532;9;1.504;181674800
Patriot Games;0;1992;42.0296;9999;9999;28410;117;35;69;95825;0;0;45000000;83287400;448;8;0.893;178100000
Blood Diamond;1;2006;57.0349;4324;6279;16746759;143;187;80;470183;1189141;0;100000000;57377900;584;3;1.37;171377900
Cloverfield;0;2008;83.9716;2;5;9968;85;27;70;356539;511551;844;25000000;80048400;725;4;2.483;171302200
Alexander;0;2004;51.0131;9999;9999;1087649;175;119;56;156282;138916;351044;155000000;34297200;440;8;3.182;167297200
The Scorpion King;0;2002;46.5209;914;2014;57678958;92;105;55;124755;472734;0;60000000;90580000;834;5;2.158;165890600
No Country for Old Men;1;2007;82.7033;49;131;1027;122;22;81;784834;1132981;6345;25000000;74273500;687;7;1.164;164051300
The Island;0;2005;52.0082;6966;8001;45113;107;12;71;14;224058;191761;120000000;35818900;517;2;1.547;163018900
Live and Let Die;0;1973;70.9657;4690;7224;581;75;11;32;159;5075533;0;7000000;35400000;603;3;1.161;161800000
Black Hawk Down;1;2001;58.2307;2293;3057;5800;144;135;77;345370;2115962;9476;95000000;108638700;701;3;2.425;159691100
The Jackal;0;1997;32.058;9999;9999;3641;124;11;64;100994;0;1823;60000000;54956900;543;4;1.842;159356900
Sin City;0;2005;62.2931;240;389;1056340;124;53;80;721203;1018170;2901;40000000;74103800;1058;11;2.647;158527900
The Phantom of the Opera;1;2004;60.9576;9343;9999;4763060;93;3;76;15457;1396874;785;55000000;51225800;1421;3;2.674;153878500
Olympus Has Fallen;0;2013;49.3763;125;481;4763060;119;156;65;241749;678455;0;70000000;98927600;707;12;0.707;150562200
Star Trek: First Contact;1;1996;98.4615;2672;4641;93125;111;63;76;111989;139091;3034;46000000;92027900;648;8;2.16;150000000
Broken Arrow;1;1996;34.133;9999;9999;848;93;25;72;6968;0;10830;65000000;70646000;456;4;1.974;148346000
Swordfish;0;2001;24.1548;9999;9999;23748620;99;41;65;170689;20134;0;80000000;69773000;766;4;2.35;147080400
Resident Evil: Extinction;0;2007;88.7336;588;583;5529324;94;124;63;175620;10207431;0;45000000;50648700;977;2;1.535;146162900
Conspiracy Theory;0;1997;28.1304;9999;9999;46567;135;7;67;88881;3370;0;80000000;76119000;590;3;2.034;142783700
The Legend of Zorro;0;2005;42.3562;9999;9999;4595;129;13;59;87694;346;2498;80000000;45575300;745;2;3.893;141475300
Bad Boys;0;1995;32.3487;9999;9999;77055972;123;30;72;12957;9321435;191761;23000000;65647400;655;4;1.527;141247400
Thunderball;1;1965;78.0052;5768;8901;244;130;47;70;97251;5075533;0;9000000;63600000;803;3;1.245;141200000
Die Hard;1;1988;88.298;598;728;304676;132;20;82;734057;2588069;2595;28000000;81350200;611;7;0.818;139109300
Platoon;1;1986;67.8093;2775;3868;713125;120;160;81;358162;764969;351044;6000000;137963300;660;3;1.212;137963300
Last Action Hero;0;1993;60.0716;9999;9999;1148;130;45;64;128078;1246;2595;85000000;50016400;616;9;1.136;137298500
Stardust;0;2007;73.7302;2208;5818;1217142;75;22;48;22;364503;905;70000000;38634900;691;3;1.592;137022200
Munich;1;2005;59.3076;6491;7415;745;164;49;75;201163;82588;121711;75000000;47379100;511;4;1.761;131492800
Blade: Trinity;0;2004;56.1465;9999;9999;5450459;113;140;59;158646;2665090;0;65000000;52397400;562;7;1.779;131353200
Blade;0;1998;50.1109;3120;5866;886;90;111;54;187;2665090;208;45000000;70141900;498;3;2.41;131237700
Atonement;1;2007;67.2535;542;1646;1155874;123;34;78;232454;323001;2219;30000000;50980200;838;2;2.148;129779700
Aliens vs. Predator: Requiem;0;2007;59.4136;191;542;0;94;5;47;111031;1781836;0;40000000;41797100;821;5;1.462;128884500
Mortal Kombat;0;1995;61.642;9999;9999;3569;101;11;58;95410;6133098;1432;20000000;70433200;777;7;0.515;122133200
Sahara;1;2005;46.7132;9999;9999;5110426;70;68;46;9;0;0;145000000;68671900;132;2;0.758;121671900
Starship Troopers;1;1997;54.1843;1642;2362;660;129;256;72;254433;217004;660;100000000;54769000;665;7;2.857;121100000
Apocalypto;1;2006;77.107;1957;3945;708;139;114;78;274485;1844;131054;40000000;50866600;616;4;0.649;121032300
Charlie Wilson's War;1;2007;44.4604;9999;9999;6181;102;22;70;102376;134;1534;75000000;66661100;430;3;2.093;119512800
The Omen;1;2006;37.49;9999;9999;264;111;8;75;100373;181718;0;25000000;54607400;760;3;0.789;119295600
Disturbia;0;2007;46.1607;5275;9999;884;105;10;68;209978;465480;1137;20000000;80819000;579;4;1.727;118537600
A Nightmare on Elm Street;0;2010;83.3321;199;388;713125;91;4;75;190827;2967505;25897;35000000;63075000;633;6;2.844;117729600
Diamonds are Forever;1;1971;71.901;4652;7290;244;120;29;66;88326;5075533;0;7200000;43800000;933;3;0.857;116000000
We Were Soldiers;0;2002;32.8071;9999;9999;25543;138;305;71;123148;644664;3379;70000000;78120200;786;3;2.545;114658300
Underworld: Evolution;0;2006;50.0971;1288;2659;956;106;75;67;182350;7663669;231;45000000;62318900;680;3;1.324;113417800
The Pianist;1;2002;44.5002;4229;3516;396;112;70;47;119;1457951;21012;35000000;32519300;605;2;6.612;111854200
You Only Live Twice;0;1967;84.4118;5709;9325;742;117;91;69;89992;0;0;9500000;43100000;838;2;1.551;111600000
Fool's Gold;0;2008;50.1349;5074;9999;5110426;63;3;68;82;36717;5277;72500000;70231000;348;2;0.862;109363000
The Chronicles of Riddick;0;2004;28.9867;661;575;97091653;119;187;67;206480;1464040;522;120000000;57712800;637;5;0.942;107212800
Shaft;1;2000;30.5264;2449;5763;329131;100;22;66;15317;15730;0;53012900;70327900;643;2;0.622;107190100
The Prestige;1;2006;75.6489;656;1440;329131;130;7;85;1092959;380;356882;40000000;53089900;579;6;1.554;104407400
Dawn of the Dead;0;2004;55.9816;3657;6631;5627;127;175;79;105345;1034167;0;28000000;58990800;622;4;2.251;103452900
Zombieland;0;2009;86.1625;32;198;123111;88;109;76;479748;3499354;0;23600000;75590300;683;4;1.171;102236600
Kung Fu Hustle;0;2005;89.7346;9999;9999;264;99;20;77;119027;550389;13772;20000000;17104700;702;6;0.997;102034100
Fight Club;1;1999;91.0311;1398;1782;85185;139;14;88;1721654;9392444;20499;65000000;37030100;693;3;1.443;100851700
Hellboy;0;2004;49.0337;2938;2906;366;122;42;68;294833;1206508;299975;60000000;59624000;697;5;1.578;99824000
Mad Max;0;1980;64.925;12;11;728;88;9;69;179922;1550416;234;200000;8750000;619;4;2.1;99750000
Hitman;0;2007;49.3143;1194;2994;866;104;55;62;4600;1631;0;17500000;39687700;686;4;1.603;99135600
Predator;1;1987;74.4256;315;324;1353;107;64;78;351308;2210577;2595;18000000;59735500;555;3;1.622;98267600
The Man with the Golden Gun;0;1974;98.4615;6671;9330;144155;125;6;68;88326;1213;0;7000000;21000000;672;5;5.655;97600000
Kick-Ass;0;2010;92.0895;26;80;553;117;64;76;504780;820047;905;28000000;48071300;677;5;1.034;97531100
Once Upon A Time In Mexico;0;2003;35.7727;9999;9999;713125;102;99;64;147336;135500;436632;29000000;56330700;551;3;2.178;97413500
Enemy at the Gates;0;2001;42.8106;6208;9086;732;131;174;76;228496;324473;244;85000000;51396800;644;5;4.037;96971300
8MM;0;1999;25.2204;9999;9999;25042;123;1;65;117503;1295;785;40000000;36443400;535;6;1.869;96398800
TMNT;0;2007;69.2912;4090;7973;7500520;87;206;62;59046;1596541;0;35000000;54149100;749;4;0.935;96096000
Underworld;0;2003;45.427;587;1455;955;80;58;76;2290;7663669;231;22000000;51970700;100;3;1;95708500
Shooter;0;2007;50.9375;6412;8639;650;124;56;72;295905;1152091;0;60000000;47003600;658;4;1.368;95538600
Four Brothers;0;2005;32.1434;9999;9999;7554;109;16;68;126927;474594;0;30000000;74494400;716;5;1.816;92494400
Secret Window;0;2004;30.4186;9999;9999;713125;96;4;66;172660;97;192;40000000;47958000;693;3;1.587;92111600
Galaxy Quest;0;1999;78.7805;6028;9999;304676;102;32;73;139718;10689;0;45000000;71423700;726;6;2.755;90523700
The Constant Gardener;1;2005;35.6685;9999;9999;883;129;18;74;126892;95216;1728;25500000;33579800;563;3;1.066;86301600
Max Payne;0;2008;48.3733;211;915;26448;100;38;54;118607;709524;0;35000000;40689400;437;6;1.373;85763900
Tears of the Sun;0;2003;22.7334;9999;9999;102947;121;83;66;108240;1045;0;75000000;43632500;806;3;1.737;85632500
Snatch;0;2000;45.7913;6187;6570;53089569;104;26;83;733263;2117921;20823;10000000;30093100;793;5;1.765;83593100
Zodiac;0;2007;80.3923;2508;5005;29346388;157;3;77;405935;0;20499;85000000;33080100;571;8;2.102;83080100
Reign of Fire;0;2002;39.9121;9999;9999;329131;101;32;62;121009;554;0;60000000;43062000;557;4;1.257;82150200
On Her Majesty's Secret Service;0;1969;96.9231;3951;6502;803;142;26;67;73366;317;0;8000000;22800000;671;3;2.534;82000000
Hot Fuzz;0;2007;71.7847;3336;6041;175;121;29;78;434758;1271879;6345;16000000;23618800;803;3;1.993;81742600
Apocalypse Now;1;1979;83.999;793;1160;28410;147;62;84;562069;1004979;67596;31500000;78800000;558;8;1.971;81250500
The Rundown;0;2003;37.6441;9999;9999;57678958;104;46;67;97040;10892;1745;85000000;47641700;589;4;1.019;80831900
30 Days of Night;0;2007;56.1821;3523;7213;430;113;67;66;157824;596975;0;30000000;39569000;579;3;1.727;80276200
Exit Wounds;0;2001;25.9001;9999;9999;4893121;101;38;56;30774;3441;0;33000000;51758600;1100;2;3.091;79958600
Conan the Barbarian;0;1982;65.0753;5964;6243;919;129;114;69;130257;307326;856;20000000;38264100;665;3;1.504;79114100
From Russia With Love;0;1964;90.8902;4942;7297;559;115;21;74;108143;134;0;2000000;24800000;1142;3;2.539;78900000
Collateral Damage;0;2002;27.283;9999;9999;672;108;90;55;69382;0;0;85000000;40048300;706;6;2.125;78353500
Hostage;0;2005;34.2731;9999;9999;755;90;16;57;122;68729;302;75000000;34636400;614;2;2.769;77636400
Windtalkers;0;2002;34.0123;9999;9999;25042;134;389;61;63011;450;10830;115000000;40914100;1192;3;2.433;77628300
The Number 23;0;2007;36.0623;8179;9999;2013384;98;10;64;186413;785;785;32000000;35193200;464;2;1.724;77593200
Out of Sight;1;1998;43.4381;9999;9999;3000;87;9;55;77;144;729;48000000;37562600;170;9;4.706;77562600
The Ladykillers;1;2004;47.7642;9999;9999;3641;91;5;77;24536;3999;6345;35000000;39692100;692;1;1.59;77392100
There Will Be Blood;1;2007;87.6254;100;352;272;158;4;81;474358;353804;8771;25000000;40222500;593;4;2.024;77208700
The Last of the Mohicans;1;1992;41.5531;9372;9999;855;73;172;67;1045;127801;56710;40000000;75505900;571;1;1.226;75505900
The Count of Monte Cristo;0;2002;28.8733;9999;9999;1217142;69;5;54;34;38372;0;40000000;54228100;722;3;2.493;75389100
Jackie Brown;0;1997;56.3721;776;1046;1819548;154;4;75;293509;397798;144808;12000000;39673200;610;8;2.295;74727500
3:10 To Yuma;1;2007;56.6385;935;2999;329131;92;45;76;17003;183955;327;48000000;53606900;805;4;2.609;71171800
Ronin;0;1998;92.3077;9999;9999;1819548;122;34;73;163542;10576;0;55000000;41610900;554;7;1.805;70692100
Lawrence of Arabia;1;1962;84.3925;3637;5464;607;228;180;83;248494;210084;657;15000000;37495400;761;8;1.314;69995400
Children of Men;1;2006;84.3405;3197;5391;16000;109;77;79;436458;286582;135911;76000000;35552400;628;2;1.911;69845000
Letters from Iwo Jima;1;2006;45.6984;9999;9999;378;141;84;79;147871;89406;1631839;13000000;13756100;748;4;1.337;67868000
Star Trek: Nemesis;0;2002;64.249;1369;2840;751277;116;54;64;69248;118373;0;60000000;43254400;685;8;2.19;67312800
Hero;1;2002;60.2737;9999;9999;21132253;92;152;35;42;413123;10866;42000000;19487200;671;3;1.788;66787200
The Bank Job;0;2008;39.9482;525;1556;53089569;111;4;72;167558;226751;0;20000000;30060700;534;2;2.06;66143000
K-19: The Widowmaker;0;2002;31.8659;9999;9999;135619;138;10;67;56461;0;14689;90000000;35169000;1197;2;1.838;65716100
House on Haunted Hill;0;1999;57.7882;8328;9999;885;75;30;69;21006;52010;0;19000000;40846100;660;2;1.667;65090500
28 Weeks Later;0;2007;51.7071;1879;2740;1869946;100;212;70;245442;856717;0;15000000;28638900;734;4;1.771;64232700
Tango & Cash;0;1989;46.7387;9999;9999;6398015;104;20;64;90436;132374;0;55000000;63408600;591;4;2.03;63408600
Patton;1;1970;58.8273;9999;9999;654;172;199;79;89299;110805;0;12000000;62500000;684;2;3.363;62500000
Snakes on a Plane;0;2006;81.4159;6879;9999;8232;105;60;54;127445;34771;0;33000000;34020800;673;4;2.377;62020800
The 13th Warrior;0;1999;40.8957;9999;9999;845;102;61;66;111852;7323;9999;125000000;32698900;472;7;2.542;61698900
A History of Violence;1;2005;49.6569;9999;9999;47335;96;13;74;213705;66656;29947;32000000;31493800;631;3;2.377;61477800
Zoolander;0;2001;44.6016;612;706;5529324;90;4;66;234837;1486711;3371553;28000000;45172300;692;3;3.179;60781000
Dr. No;0;1963;96.9842;1491;2837;650;110;8;73;136706;84;0;1000000;16067000;624;3;0.962;59567000
Behind Enemy Lines;0;2001;33.9493;9999;9999;578;90;96;50;410;5075533;0;40000000;58855700;259;3;1.544;58855700
Milk;1;2008;82.1835;651;2129;1613343;94;4;56;155;240465;45273;20000000;31841300;683;5;2.782;57293400
Smokin' Aces;0;2007;38.3177;2127;4897;5450459;109;47;67;132607;167409;2017;17000000;35662700;773;5;1.682;57263400
The Mist;1;2007;61.3182;1558;3096;445;126;46;71;265739;96180;0;13000000;25593800;917;4;3.162;57189400
Tombstone;0;1993;50.3588;5418;9999;4595;130;55;78;117600;411;0;25000000;56505100;596;14;1.846;56505100
Cradle 2 the Grave;0;2003;23.0529;9999;9999;21132253;101;13;58;39635;362540;0;25000000;34657700;671;6;2.534;56434900
Lucky Number Slevin;0;2006;28.8346;9999;9999;102947;110;19;77;290610;302420;0;27000000;22495500;733;6;4.366;55495500
Doom;0;2005;49.331;7409;9999;57678958;105;89;52;101312;0;0;70000000;28212300;609;3;2.791;54612300
The Punisher;0;2004;71.8569;6468;9999;669;89;96;57;20409;1251760;0;33000000;33664400;551;1;2.178;54533800
The International;0;2009;50.6525;9999;9999;41205;118;18;65;87908;35133;3828;50000000;25450500;568;2;3.169;53850500
Maximum Risk;0;1996;34.7494;9999;9999;25556;101;18;55;18980;0;0;25000000;14102900;179;2;0.559;51702900
Team America: World Police;0;2004;76.841;4919;8961;860;98;79;72;152960;236413;406;20000000;32774800;437;3;1.831;50948800
A Bridge Too Far;0;1977;65.6243;9999;9999;385;175;243;74;48223;3412;580;26000000;50800000;692;12;2.89;50800000
The Black Dahlia;1;2006;43.3087;9999;9999;45113;121;13;56;69060;67;15023;60000000;22672800;780;4;3.205;49238500
Red Dawn;0;2012;56.049;106;372;70941;114;118;64;48170;341396;856;65000000;44806800;717;9;1.534;48164200
Walking Tall;0;2004;23.635;9999;9999;57678958;125;6;70;4598;0;0;56000000;46213800;384;3;2.083;47313800
The Hunted;0;2003;30.2675;9999;9999;933;88;83;66;365;695;574;55000000;34234000;16;1;12.5;47213100
Bangkok Dangerous;0;2008;39.4386;4202;9999;25042;105;38;66;3389;56498;0;45000000;15298100;854;1;2.576;46598100
The Last House on the Left;0;2009;61.722;408;1870;956;84;6;60;30396;339223;0;15000000;32752200;650;2;1.692;46526200
Machete;0;2010;83.3469;9999;9999;1819548;75;81;51;57;2896;0;12500000;26593600;208;3;1.923;46371000
